,Age,Avg_Daily_Screen_Time_hr,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Urban_or_Rural,Gender_Female,Gender_Male,Primary_Device_Laptop,Primary_Device_Smartphone,Primary_Device_TV,Primary_Device_Tablet
102,17,2.78,False,0.34,Urban,True,False,False,True,False,False
103,16,3.93,True,0.39,Rural,True,False,False,True,False,False
104,14,4.61,True,0.31,Urban,False,True,False,False,True,False
105,16,5.67,True,0.49,Urban,False,True,False,False,True,False
106,15,4.51,True,0.4,Urban,True,False,True,False,False,False
107,9,0.45,False,0.46,Rural,True,False,False,True,False,False
108,8,2.52,True,0.58,Urban,False,True,False,True,False,False
109,14,6.04,True,0.39,Urban,False,True,False,True,False,False
110,14,6.1,True,0.47,Rural,True,False,False,True,False,False
111,15,5.61,True,0.39,Urban,False,True,False,True,False,False
112,12,2.34,False,0.37,Urban,False,True,False,True,False,False
113,10,6.86,True,0.56,Urban,False,True,False,False,True,False
114,15,3.78,True,0.31,Rural,True,False,True,False,False,False
115,13,4.67,True,0.44,Urban,False,True,False,True,False,False
116,18,3.25,True,0.45,Rural,False,True,False,False,False,True
117,10,4.98,True,0.46,Rural,False,True,False,True,False,False
118,8,5.22,True,0.45,Urban,False,True,False,True,False,False
119,10,5.02,True,0.6,Urban,True,False,False,False,True,False
120,12,6.06,True,0.43,Urban,False,True,False,True,False,False
121,10,1.86,False,0.46,Rural,True,False,False,True,False,False
122,8,6.48,True,0.48,Rural,True,False,False,True,False,False
123,12,4.37,True,0.46,Rural,False,True,True,False,False,False
124,17,4.16,True,0.31,Rural,False,True,True,False,False,False
125,14,3.91,True,0.39,Urban,True,False,True,False,False,False
126,14,4.54,True,0.41,Urban,False,True,True,False,False,False
127,18,4.59,True,0.35,Rural,True,False,False,True,False,False
128,16,2.42,False,0.45,Urban,True,False,False,True,False,False
129,17,6.78,True,0.49,Urban,False,True,False,True,False,False
130,17,4.19,True,0.48,Rural,True,False,False,False,True,False
131,10,3.27,True,0.48,Rural,True,False,False,False,True,False
132,14,6.01,True,0.34,Urban,False,True,False,False,False,True
133,8,4.74,True,0.5,Urban,True,False,False,True,False,False
134,11,3.42,True,0.43,Urban,True,False,False,True,False,False
135,11,5.47,True,0.41,Urban,True,False,False,True,False,False
136,12,6.28,True,0.32,Rural,True,False,False,True,False,False
137,14,3.26,True,0.46,Urban,False,True,False,True,False,False
138,14,6.06,True,0.38,Urban,False,True,False,True,False,False
139,18,4.67,True,0.32,Urban,True,False,False,False,True,False
140,11,3.75,True,0.43,Urban,False,True,False,True,False,False
141,14,6.7,True,0.3,Urban,True,False,False,True,False,False
142,18,3.58,True,0.38,Urban,True,False,False,True,False,False
143,10,2.51,True,0.47,Rural,True,False,False,False,True,False
144,13,5.24,True,0.43,Urban,False,True,False,True,False,False
145,9,0.0,False,0.49,Rural,True,False,False,False,False,True
146,17,5.14,True,0.36,Urban,True,False,False,True,False,False
147,16,3.7,True,0.33,Urban,True,False,False,False,False,True
148,12,4.79,True,0.32,Urban,False,True,False,False,True,False
149,13,3.3,True,0.43,Rural,False,True,False,False,False,True
150,11,5.97,True,0.5,Urban,True,False,False,True,False,False
151,18,3.05,True,0.37,Urban,True,False,False,True,False,False
152,17,5.18,True,0.42,Urban,True,False,False,True,False,False
153,14,3.66,True,0.33,Urban,True,False,True,False,False,False
154,16,4.08,True,0.47,Urban,False,True,False,True,False,False
155,14,4.41,True,0.32,Urban,True,False,False,False,True,False
156,8,4.84,True,0.54,Urban,True,False,False,True,False,False
157,8,6.82,True,0.52,Rural,True,False,False,True,False,False
158,16,4.6,True,0.4,Urban,True,False,False,True,False,False
159,18,4.06,True,0.44,Urban,True,False,False,True,False,False
160,16,6.5,True,0.49,Urban,True,False,False,False,True,False
161,11,4.21,True,0.3,Rural,True,False,False,False,True,False
162,16,7.07,True,0.36,Urban,True,False,True,False,False,False
163,10,2.48,True,0.51,Rural,False,True,False,True,False,False
164,14,4.06,True,0.42,Urban,True,False,False,True,False,False
165,13,3.9,True,0.36,Urban,False,True,False,True,False,False
166,15,2.38,False,0.33,Urban,True,False,False,False,True,False
167,18,6.59,True,0.39,Rural,True,False,True,False,False,False
168,16,5.6,True,0.4,Rural,False,True,True,False,False,False
169,12,5.32,True,0.31,Urban,False,True,True,False,False,False
170,8,4.82,True,0.51,Rural,False,True,False,False,True,False
171,10,3.69,True,0.56,Urban,False,True,False,False,True,False
172,17,4.17,True,0.39,Urban,False,True,False,False,True,False
173,15,4.09,True,0.35,Urban,False,True,False,False,True,False
174,18,5.83,True,0.39,Rural,False,True,False,True,False,False
175,13,4.74,True,0.44,Rural,True,False,True,False,False,False
176,15,4.01,True,0.39,Urban,True,False,False,False,True,False
177,16,2.59,False,0.44,Urban,True,False,True,False,False,False
178,11,4.94,True,0.45,Urban,True,False,False,True,False,False
179,8,4.15,True,0.59,Rural,False,True,False,False,True,False
180,8,0.3,False,0.48,Urban,False,True,False,False,True,False
181,17,4.75,True,0.37,Rural,True,False,False,False,False,True
182,11,5.12,True,0.48,Urban,False,True,True,False,False,False
183,14,3.2,True,0.4,Urban,False,True,False,True,False,False
184,9,5.72,True,0.51,Urban,False,True,False,True,False,False
185,10,6.8,True,0.43,Rural,False,True,False,False,True,False
186,8,4.73,True,0.42,Urban,True,False,False,False,False,True
187,12,1.51,False,0.5,Urban,False,True,False,True,False,False
188,8,7.74,True,0.5,Urban,True,False,False,False,False,True
189,15,5.08,True,0.33,Urban,True,False,False,True,False,False
190,8,1.13,False,0.41,Urban,True,False,False,False,True,False
191,18,5.12,True,0.46,Rural,False,True,False,True,False,False
192,8,6.34,True,0.51,Urban,False,True,False,False,True,False
193,9,5.05,True,0.58,Urban,True,False,False,True,False,False
194,9,0.73,False,0.58,Urban,True,False,False,True,False,False
195,13,5.49,True,0.45,Urban,False,True,False,True,False,False
196,14,4.51,True,0.36,Urban,True,False,True,False,False,False
197,12,2.9,False,0.48,Urban,False,True,False,True,False,False
198,8,6.29,True,0.49,Urban,False,True,False,False,False,True
199,8,2.1,True,0.5,Urban,False,True,False,True,False,False
200,10,4.53,True,0.47,Urban,True,False,False,False,True,False
201,9,2.44,True,0.48,Rural,True,False,False,False,False,True
202,12,2.14,False,0.4,Urban,True,False,False,True,False,False
203,17,2.72,False,0.33,Urban,True,False,False,True,False,False
204,13,4.49,True,0.41,Urban,True,False,False,True,False,False
205,14,3.15,True,0.38,Urban,True,False,False,False,False,True
206,11,3.74,True,0.42,Rural,False,True,False,True,False,False
207,14,3.82,True,0.46,Urban,True,False,False,False,False,True
208,18,6.53,True,0.43,Urban,True,False,False,False,True,False
209,15,4.54,True,0.46,Urban,True,False,True,False,False,False
210,18,3.87,True,0.36,Urban,True,False,True,False,False,False
211,8,0.1,False,0.5,Rural,True,False,False,False,False,True
212,13,4.44,True,0.39,Urban,False,True,False,True,False,False
213,15,4.75,True,0.44,Rural,False,True,False,True,False,False
214,12,3.65,True,0.4,Urban,True,False,False,False,False,True
215,11,3.85,True,0.31,Urban,False,True,True,False,False,False
216,9,2.32,True,0.51,Urban,False,True,False,False,True,False
217,13,3.65,True,0.37,Rural,False,True,True,False,False,False
218,13,5.78,True,0.43,Rural,True,False,False,False,True,False
219,18,2.96,False,0.43,Urban,False,True,False,False,True,False
220,8,0.91,False,0.43,Urban,True,False,False,True,False,False
221,16,4.17,True,0.36,Urban,False,True,False,True,False,False
222,18,3.98,True,0.37,Urban,False,True,True,False,False,False
223,13,2.94,False,0.43,Urban,False,True,False,True,False,False
224,10,6.63,True,0.54,Urban,True,False,False,False,True,False
225,11,2.9,False,0.36,Urban,False,True,False,False,True,False
226,18,5.84,True,0.43,Urban,True,False,False,True,False,False
227,11,4.78,True,0.39,Rural,False,True,False,True,False,False
228,10,4.13,True,0.4,Urban,False,True,False,True,False,False
229,17,3.67,True,0.34,Urban,False,True,False,True,False,False
230,10,3.02,True,0.46,Rural,False,True,False,False,True,False
231,10,1.92,False,0.41,Urban,True,False,False,False,True,False
232,11,4.16,True,0.36,Urban,True,False,True,False,False,False
233,14,3.9,True,0.37,Urban,False,True,False,False,True,False
234,11,6.12,True,0.34,Urban,True,False,False,False,True,False
235,16,6.23,True,0.47,Rural,False,True,False,True,False,False
236,8,2.87,True,0.52,Urban,False,True,False,True,False,False
237,15,4.88,True,0.34,Urban,False,True,False,True,False,False
238,14,2.61,False,0.38,Rural,True,False,False,True,False,False
239,9,1.19,False,0.45,Urban,True,False,False,False,False,True
240,15,2.54,False,0.3,Urban,False,True,True,False,False,False
241,8,5.36,True,0.56,Urban,False,True,False,False,False,True
242,18,4.18,True,0.31,Urban,False,True,False,False,True,False
243,16,4.47,True,0.43,Urban,False,True,False,False,True,False
244,16,5.91,True,0.38,Rural,True,False,False,False,True,False
245,9,1.64,False,0.49,Urban,True,False,False,True,False,False
246,14,4.13,True,0.49,Rural,True,False,False,True,False,False
247,17,1.97,False,0.44,Rural,False,True,False,True,False,False
248,10,0.21,False,0.5,Urban,True,False,False,True,False,False
249,14,3.27,True,0.45,Urban,True,False,False,False,False,True
250,17,4.62,True,0.38,Urban,True,False,False,True,False,False
251,16,4.14,True,0.41,Urban,True,False,False,True,False,False
252,11,3.82,True,0.5,Urban,True,False,True,False,False,False
253,8,4.69,True,0.59,Urban,True,False,False,True,False,False
254,9,3.59,True,0.44,Rural,False,True,False,True,False,False
255,8,3.28,True,0.46,Rural,False,True,False,False,False,True
256,12,3.94,True,0.44,Urban,False,True,False,False,True,False
257,12,6.34,True,0.43,Rural,False,True,True,False,False,False
258,18,5.16,True,0.47,Urban,True,False,False,True,False,False
259,14,2.89,False,0.4,Rural,False,True,True,False,False,False
260,16,3.73,True,0.34,Rural,True,False,True,False,False,False
261,16,5.77,True,0.41,Urban,False,True,True,False,False,False
262,10,3.57,True,0.52,Rural,False,True,False,True,False,False
263,10,6.58,True,0.52,Rural,True,False,False,False,True,False
264,10,3.2,True,0.55,Urban,False,True,False,True,False,False
265,11,2.08,False,0.31,Rural,False,True,False,False,True,False
266,15,4.26,True,0.42,Urban,False,True,False,True,False,False
267,13,8.24,True,0.4,Urban,False,True,False,False,True,False
268,15,3.85,True,0.35,Urban,False,True,False,True,False,False
269,8,1.63,False,0.59,Urban,True,False,False,True,False,False
270,15,2.2,False,0.44,Rural,False,True,False,True,False,False
271,11,2.73,False,0.35,Urban,True,False,False,False,False,True
272,18,5.02,True,0.49,Urban,False,True,False,True,False,False
273,8,4.92,True,0.59,Urban,True,False,False,False,False,True
274,15,4.32,True,0.33,Urban,True,False,False,True,False,False
275,11,3.71,True,0.4,Urban,False,True,False,True,False,False
276,13,4.29,True,0.3,Urban,False,True,False,True,False,False
277,15,6.56,True,0.33,Urban,True,False,False,True,False,False
278,11,0.95,False,0.36,Urban,False,True,False,True,False,False
279,10,2.0,False,0.58,Urban,True,False,False,True,False,False
280,16,3.12,True,0.44,Urban,True,False,False,True,False,False
281,10,1.65,False,0.56,Urban,True,False,False,True,False,False
282,16,3.96,True,0.37,Urban,False,True,False,True,False,False
283,9,1.68,False,0.6,Rural,True,False,False,False,True,False
284,9,4.05,True,0.48,Urban,True,False,False,False,True,False
285,9,4.29,True,0.53,Urban,False,True,False,False,False,True
286,13,4.46,True,0.45,Urban,False,True,True,False,False,False
287,10,0.0,False,0.47,Rural,False,True,False,False,True,False
288,16,5.54,True,0.34,Rural,False,True,False,True,False,False
289,11,2.02,False,0.39,Urban,True,False,False,False,False,True
290,8,1.67,False,0.56,Urban,True,False,False,False,True,False
291,11,5.3,True,0.33,Urban,True,False,False,False,False,True
292,8,9.35,True,0.55,Rural,True,False,False,True,False,False
293,12,3.97,True,0.36,Rural,False,True,False,True,False,False
294,11,4.12,True,0.34,Urban,False,True,True,False,False,False
295,15,4.88,True,0.43,Rural,False,True,True,False,False,False
296,15,5.48,True,0.42,Urban,True,False,False,True,False,False
297,14,3.23,True,0.31,Urban,True,False,False,True,False,False
298,10,5.99,True,0.4,Urban,False,True,False,False,True,False
299,8,1.25,False,0.4,Urban,False,True,False,False,False,True
300,8,0.0,False,0.44,Urban,False,True,False,True,False,False
301,18,3.91,True,0.43,Rural,False,True,True,False,False,False
302,10,8.74,True,0.56,Urban,True,False,False,False,False,True
303,13,7.85,True,0.43,Rural,True,False,False,False,True,False
304,14,5.76,True,0.35,Urban,True,False,False,True,False,False
305,13,3.37,True,0.46,Rural,True,False,False,True,False,False
306,13,4.11,True,0.37,Urban,True,False,True,False,False,False
307,13,4.06,True,0.44,Urban,False,True,False,True,False,False
308,10,2.29,True,0.58,Urban,False,True,False,True,False,False
309,13,1.9,False,0.43,Urban,True,False,False,False,True,False
310,15,3.83,True,0.42,Urban,False,True,False,True,False,False
311,18,4.13,True,0.33,Rural,False,True,False,True,False,False
312,18,3.99,True,0.41,Rural,True,False,False,True,False,False
313,9,0.0,False,0.44,Urban,False,True,False,False,False,True
314,12,3.54,True,0.34,Urban,False,True,False,False,True,False
315,8,2.4,True,0.44,Urban,True,False,False,False,True,False
316,8,5.51,True,0.6,Rural,False,True,False,True,False,False
317,12,4.68,True,0.42,Urban,False,True,False,False,False,True
318,10,4.05,True,0.42,Urban,False,True,False,False,True,False
319,11,3.97,True,0.36,Rural,True,False,False,True,False,False
320,10,9.2,True,0.48,Urban,False,True,False,True,False,False
321,8,3.93,True,0.43,Urban,False,True,False,True,False,False
322,8,0.0,False,0.55,Urban,True,False,False,True,False,False
323,12,3.15,True,0.38,Urban,True,False,False,False,False,True
324,13,2.42,False,0.4,Urban,False,True,True,False,False,False
325,10,0.66,False,0.54,Urban,True,False,False,True,False,False
326,16,1.92,False,0.38,Urban,True,False,False,True,False,False
327,12,4.46,True,0.3,Urban,False,True,True,False,False,False
328,15,5.57,True,0.44,Rural,False,True,False,True,False,False
329,8,6.76,True,0.48,Urban,False,True,False,False,False,True
330,12,5.69,True,0.43,Urban,False,True,False,True,False,False
331,10,4.51,True,0.44,Urban,False,True,False,False,False,True
332,8,2.9,True,0.56,Urban,True,False,False,True,False,False
333,11,3.35,True,0.44,Rural,False,True,False,True,False,False
334,12,5.82,True,0.45,Urban,False,True,False,False,True,False
335,14,5.09,True,0.43,Urban,False,True,False,False,True,False
336,8,5.49,True,0.46,Rural,True,False,False,False,True,False
337,10,4.1,True,0.45,Urban,False,True,False,False,False,True
338,9,6.83,True,0.56,Rural,False,True,False,True,False,False
339,16,4.1,True,0.49,Rural,False,True,False,False,True,False
340,17,2.9,False,0.35,Urban,True,False,True,False,False,False
341,13,4.78,True,0.46,Urban,False,True,False,True,False,False
342,17,5.69,True,0.33,Urban,True,False,False,True,False,False
343,10,6.33,True,0.5,Urban,False,True,False,False,False,True
344,15,3.14,True,0.37,Urban,False,True,False,False,True,False
345,15,5.56,True,0.31,Urban,False,True,True,False,False,False
346,9,3.11,True,0.47,Urban,False,True,False,True,False,False
347,13,4.9,True,0.38,Urban,False,True,False,False,True,False
348,14,6.39,True,0.4,Urban,False,True,False,False,False,True
349,9,1.38,False,0.52,Urban,False,True,False,True,False,False
350,18,7.75,True,0.34,Urban,False,True,False,False,False,True
351,17,5.12,True,0.3,Urban,True,False,False,True,False,False
352,9,2.31,True,0.59,Urban,True,False,False,True,False,False
353,17,5.34,True,0.47,Urban,True,False,False,True,False,False
354,8,7.91,True,0.58,Urban,False,True,False,True,False,False
355,15,4.46,True,0.32,Rural,True,False,False,False,False,True
356,8,2.02,True,0.57,Urban,False,True,False,True,False,False
357,16,4.92,True,0.47,Rural,False,True,False,True,False,False
358,18,4.64,True,0.46,Urban,False,True,False,True,False,False
359,13,3.55,True,0.34,Rural,False,True,False,False,True,False
360,14,5.04,True,0.38,Urban,True,False,False,True,False,False
361,17,2.91,False,0.34,Rural,False,True,False,False,False,True
362,14,4.64,True,0.44,Rural,False,True,False,True,False,False
363,17,4.68,True,0.38,Urban,True,False,False,False,False,True
364,10,6.09,True,0.47,Rural,True,False,False,False,True,False
365,9,4.12,True,0.47,Rural,True,False,False,True,False,False
366,16,5.29,True,0.5,Rural,True,False,False,False,True,False
367,15,4.03,True,0.38,Rural,False,True,False,True,False,False
368,17,5.44,True,0.36,Urban,False,True,True,False,False,False
369,14,4.94,True,0.41,Urban,False,True,False,True,False,False
370,16,3.95,True,0.41,Urban,True,False,True,False,False,False
371,11,3.28,True,0.36,Urban,True,False,False,True,False,False
372,11,4.39,True,0.37,Urban,True,False,False,True,False,False
373,8,1.87,False,0.59,Urban,True,False,False,True,False,False
374,15,3.07,True,0.46,Urban,False,True,False,True,False,False
375,10,0.96,False,0.54,Urban,False,True,False,False,True,False
376,14,3.82,True,0.31,Urban,False,True,False,True,False,False
377,9,0.26,False,0.55,Rural,True,False,False,False,True,False
378,9,3.21,True,0.45,Urban,False,True,False,True,False,False
379,14,5.15,True,0.36,Urban,True,False,False,False,False,True
380,13,4.86,True,0.48,Urban,False,True,False,True,False,False
381,10,5.88,True,0.41,Urban,False,True,False,False,True,False
382,16,4.29,True,0.46,Urban,False,True,False,False,False,True
383,17,6.13,True,0.39,Urban,False,True,False,False,True,False
384,13,4.53,True,0.5,Urban,True,False,True,False,False,False
385,17,6.49,True,0.37,Rural,True,False,False,False,True,False
386,17,4.61,True,0.33,Urban,False,True,True,False,False,False
387,13,4.04,True,0.35,Urban,False,True,False,False,False,True
388,8,4.31,True,0.46,Urban,False,True,False,False,True,False
389,11,4.55,True,0.43,Rural,False,True,False,False,True,False
390,17,4.76,True,0.46,Urban,False,True,False,True,False,False
391,13,4.08,True,0.39,Urban,True,False,False,True,False,False
392,13,5.54,True,0.42,Rural,True,False,False,False,True,False
393,18,6.81,True,0.4,Urban,True,False,True,False,False,False
394,12,4.05,True,0.42,Urban,True,False,False,True,False,False
395,8,7.57,True,0.57,Urban,True,False,False,True,False,False
396,15,4.55,True,0.43,Rural,True,False,False,True,False,False
397,12,3.13,True,0.33,Urban,False,True,False,True,False,False
398,12,4.26,True,0.49,Rural,True,False,False,False,True,False
399,14,4.28,True,0.47,Urban,False,True,False,False,True,False
400,11,5.24,True,0.32,Urban,True,False,False,True,False,False
401,13,3.75,True,0.36,Urban,False,True,False,False,False,True
402,11,4.54,True,0.37,Rural,False,True,True,False,False,False
403,10,2.79,True,0.59,Urban,False,True,False,True,False,False
404,14,5.67,True,0.35,Rural,False,True,False,True,False,False
405,15,3.91,True,0.49,Rural,True,False,True,False,False,False
406,11,4.55,True,0.49,Rural,True,False,True,False,False,False
407,9,11.18,True,0.52,Rural,False,True,False,False,False,True
408,17,7.29,True,0.49,Rural,True,False,True,False,False,False
409,10,2.76,True,0.54,Urban,False,True,False,False,False,True
410,8,0.96,False,0.4,Urban,True,False,False,True,False,False
411,15,4.91,True,0.35,Rural,True,False,False,True,False,False
412,10,3.23,True,0.58,Urban,False,True,False,False,False,True
413,17,4.71,True,0.39,Urban,True,False,False,True,False,False
414,14,3.41,True,0.35,Urban,False,True,False,False,True,False
415,17,5.22,True,0.37,Urban,True,False,False,True,False,False
416,12,3.67,True,0.33,Rural,True,False,False,True,False,False
417,17,5.45,True,0.41,Urban,True,False,False,False,False,True
418,12,3.6,True,0.48,Rural,True,False,True,False,False,False
419,14,4.36,True,0.46,Urban,True,False,False,True,False,False
420,16,4.51,True,0.46,Rural,False,True,False,True,False,False
421,12,5.6,True,0.47,Urban,False,True,True,False,False,False
422,8,4.1,True,0.53,Urban,False,True,False,True,False,False
423,17,5.7,True,0.38,Rural,True,False,False,True,False,False
424,17,6.58,True,0.49,Rural,True,False,False,True,False,False
425,8,7.78,True,0.5,Rural,True,False,False,False,True,False
426,9,5.32,True,0.42,Urban,False,True,False,False,True,False
427,13,5.04,True,0.33,Rural,False,True,False,False,False,True
428,16,5.2,True,0.4,Rural,True,False,False,False,False,True
429,15,5.02,True,0.35,Urban,True,False,False,False,True,False
430,12,4.52,True,0.37,Urban,True,False,False,False,True,False
431,8,2.68,True,0.41,Urban,False,True,False,False,True,False
432,14,4.91,True,0.4,Urban,True,False,False,True,False,False
433,12,4.97,True,0.32,Rural,False,True,True,False,False,False
434,13,2.73,False,0.3,Urban,True,False,False,True,False,False
435,14,5.77,True,0.42,Rural,False,True,True,False,False,False
436,10,6.68,True,0.42,Urban,True,False,False,True,False,False
437,17,3.74,True,0.47,Urban,False,True,False,False,True,False
438,10,9.33,True,0.41,Rural,True,False,False,False,False,True
439,12,4.95,True,0.46,Urban,False,True,False,True,False,False
440,13,4.66,True,0.48,Urban,False,True,False,True,False,False
441,16,3.47,True,0.39,Urban,False,True,False,False,True,False
442,12,4.58,True,0.49,Urban,False,True,False,True,False,False
443,8,8.46,True,0.46,Urban,True,False,False,True,False,False
444,11,3.93,True,0.33,Rural,True,False,False,True,False,False
445,12,5.47,True,0.33,Urban,False,True,False,True,False,False
446,17,4.05,True,0.44,Urban,False,True,True,False,False,False
447,17,4.88,True,0.37,Urban,True,False,False,False,True,False
448,12,5.21,True,0.33,Urban,True,False,True,False,False,False
449,14,3.11,True,0.4,Urban,False,True,True,False,False,False
450,11,5.47,True,0.4,Urban,True,False,False,False,False,True
451,8,4.45,True,0.59,Rural,True,False,False,True,False,False
452,12,5.09,True,0.48,Rural,True,False,True,False,False,False
453,14,2.56,False,0.38,Urban,True,False,False,False,False,True
454,17,4.78,True,0.41,Urban,True,False,False,True,False,False
455,17,5.9,True,0.35,Urban,True,False,True,False,False,False
456,13,3.73,True,0.34,Urban,True,False,False,True,False,False
457,12,3.76,True,0.38,Urban,False,True,False,True,False,False
