,Age,Avg_Daily_Screen_Time_hr,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Urban_or_Rural,Gender_Male,Primary_Device_Laptop,Primary_Device_Smartphone,Primary_Device_TV
73,14,4.27,True,0.47,Rural,0,0,1,0
74,16,5.79,True,0.35,Urban,1,0,1,0
75,15,2.69,False,0.32,Urban,0,0,0,1
76,12,3.64,True,0.44,Urban,0,0,1,0
77,9,4.23,True,0.46,Urban,1,0,0,1
78,12,6.15,True,0.41,Urban,1,1,0,0
79,15,5.72,True,0.33,Urban,0,0,0,0
80,17,3.41,True,0.31,Rural,1,1,0,0
81,16,4.45,True,0.48,Urban,1,1,0,0
82,16,2.9,False,0.31,Urban,1,0,1,0
83,8,7.54,True,0.46,Urban,0,0,1,0
84,16,4.34,True,0.48,Urban,1,0,0,0
85,14,5.43,True,0.49,Urban,0,0,1,0
86,16,4.78,True,0.33,Rural,0,0,0,0
87,15,3.64,True,0.48,Urban,0,0,0,0
88,8,1.67,False,0.45,Rural,0,0,1,0
89,15,4.96,True,0.42,Rural,0,0,0,0
90,15,5.91,True,0.44,Urban,1,0,1,0
91,18,6.3,True,0.39,Rural,0,0,0,0
92,10,0.0,False,0.4,Urban,0,0,0,0
93,8,3.39,True,0.43,Rural,1,0,0,1
94,15,3.57,True,0.32,Rural,1,0,1,0
95,10,1.36,False,0.57,Urban,0,0,1,0
96,10,0.0,False,0.45,Rural,1,0,1,0
97,8,2.75,True,0.53,Rural,1,0,0,1
98,18,6.4,True,0.32,Urban,0,0,1,0
99,12,3.77,True,0.48,Rural,0,1,0,0
100,17,4.73,True,0.47,Urban,0,0,1,0
101,14,5.76,True,0.4,Urban,1,0,0,0
102,17,2.78,False,0.34,Urban,0,0,1,0
103,16,3.93,True,0.39,Rural,0,0,1,0
104,14,4.61,True,0.31,Urban,1,0,0,1
105,16,5.67,True,0.49,Urban,1,0,0,1
106,15,4.51,True,0.4,Urban,0,1,0,0
107,9,0.45,False,0.46,Rural,0,0,1,0
108,8,2.52,True,0.58,Urban,1,0,1,0
109,14,6.04,True,0.39,Urban,1,0,1,0
110,14,6.1,True,0.47,Rural,0,0,1,0
111,15,5.61,True,0.39,Urban,1,0,1,0
112,12,2.34,False,0.37,Urban,1,0,1,0
113,10,6.86,True,0.56,Urban,1,0,0,1
114,15,3.78,True,0.31,Rural,0,1,0,0
115,13,4.67,True,0.44,Urban,1,0,1,0
116,18,3.25,True,0.45,Rural,1,0,0,0
117,10,4.98,True,0.46,Rural,1,0,1,0
118,8,5.22,True,0.45,Urban,1,0,1,0
119,10,5.02,True,0.6,Urban,0,0,0,1
120,12,6.06,True,0.43,Urban,1,0,1,0
121,10,1.86,False,0.46,Rural,0,0,1,0
122,8,6.48,True,0.48,Rural,0,0,1,0
123,12,4.37,True,0.46,Rural,1,1,0,0
124,17,4.16,True,0.31,Rural,1,1,0,0
125,14,3.91,True,0.39,Urban,0,1,0,0
126,14,4.54,True,0.41,Urban,1,1,0,0
127,18,4.59,True,0.35,Rural,0,0,1,0
128,16,2.42,False,0.45,Urban,0,0,1,0
129,17,6.78,True,0.49,Urban,1,0,1,0
130,17,4.19,True,0.48,Rural,0,0,0,1
131,10,3.27,True,0.48,Rural,0,0,0,1
132,14,6.01,True,0.34,Urban,1,0,0,0
133,8,4.74,True,0.5,Urban,0,0,1,0
134,11,3.42,True,0.43,Urban,0,0,1,0
135,11,5.47,True,0.41,Urban,0,0,1,0
136,12,6.28,True,0.32,Rural,0,0,1,0
137,14,3.26,True,0.46,Urban,1,0,1,0
138,14,6.06,True,0.38,Urban,1,0,1,0
139,18,4.67,True,0.32,Urban,0,0,0,1
140,11,3.75,True,0.43,Urban,1,0,1,0
141,14,6.7,True,0.3,Urban,0,0,1,0
142,18,3.58,True,0.38,Urban,0,0,1,0
143,10,2.51,True,0.47,Rural,0,0,0,1
144,13,5.24,True,0.43,Urban,1,0,1,0
145,9,0.0,False,0.49,Rural,0,0,0,0
146,17,5.14,True,0.36,Urban,0,0,1,0
147,16,3.7,True,0.33,Urban,0,0,0,0
148,12,4.79,True,0.32,Urban,1,0,0,1
149,13,3.3,True,0.43,Rural,1,0,0,0
150,11,5.97,True,0.5,Urban,0,0,1,0
151,18,3.05,True,0.37,Urban,0,0,1,0
152,17,5.18,True,0.42,Urban,0,0,1,0
153,14,3.66,True,0.33,Urban,0,1,0,0
154,16,4.08,True,0.47,Urban,1,0,1,0
155,14,4.41,True,0.32,Urban,0,0,0,1
156,8,4.84,True,0.54,Urban,0,0,1,0
157,8,6.82,True,0.52,Rural,0,0,1,0
158,16,4.6,True,0.4,Urban,0,0,1,0
159,18,4.06,True,0.44,Urban,0,0,1,0
160,16,6.5,True,0.49,Urban,0,0,0,1
161,11,4.21,True,0.3,Rural,0,0,0,1
162,16,7.07,True,0.36,Urban,0,1,0,0
163,10,2.48,True,0.51,Rural,1,0,1,0
164,14,4.06,True,0.42,Urban,0,0,1,0
165,13,3.9,True,0.36,Urban,1,0,1,0
166,15,2.38,False,0.33,Urban,0,0,0,1
167,18,6.59,True,0.39,Rural,0,1,0,0
168,16,5.6,True,0.4,Rural,1,1,0,0
169,12,5.32,True,0.31,Urban,1,1,0,0
170,8,4.82,True,0.51,Rural,1,0,0,1
171,10,3.69,True,0.56,Urban,1,0,0,1
172,17,4.17,True,0.39,Urban,1,0,0,1
173,15,4.09,True,0.35,Urban,1,0,0,1
174,18,5.83,True,0.39,Rural,1,0,1,0
175,13,4.74,True,0.44,Rural,0,1,0,0
176,15,4.01,True,0.39,Urban,0,0,0,1
177,16,2.59,False,0.44,Urban,0,1,0,0
178,11,4.94,True,0.45,Urban,0,0,1,0
179,8,4.15,True,0.59,Rural,1,0,0,1
180,8,0.3,False,0.48,Urban,1,0,0,1
181,17,4.75,True,0.37,Rural,0,0,0,0
182,11,5.12,True,0.48,Urban,1,1,0,0
183,14,3.2,True,0.4,Urban,1,0,1,0
184,9,5.72,True,0.51,Urban,1,0,1,0
185,10,6.8,True,0.43,Rural,1,0,0,1
186,8,4.73,True,0.42,Urban,0,0,0,0
187,12,1.51,False,0.5,Urban,1,0,1,0
188,8,7.74,True,0.5,Urban,0,0,0,0
189,15,5.08,True,0.33,Urban,0,0,1,0
190,8,1.13,False,0.41,Urban,0,0,0,1
191,18,5.12,True,0.46,Rural,1,0,1,0
192,8,6.34,True,0.51,Urban,1,0,0,1
193,9,5.05,True,0.58,Urban,0,0,1,0
194,9,0.73,False,0.58,Urban,0,0,1,0
195,13,5.49,True,0.45,Urban,1,0,1,0
196,14,4.51,True,0.36,Urban,0,1,0,0
197,12,2.9,False,0.48,Urban,1,0,1,0
198,8,6.29,True,0.49,Urban,1,0,0,0
199,8,2.1,True,0.5,Urban,1,0,1,0
200,10,4.53,True,0.47,Urban,0,0,0,1
201,9,2.44,True,0.48,Rural,0,0,0,0
202,12,2.14,False,0.4,Urban,0,0,1,0
203,17,2.72,False,0.33,Urban,0,0,1,0
204,13,4.49,True,0.41,Urban,0,0,1,0
205,14,3.15,True,0.38,Urban,0,0,0,0
206,11,3.74,True,0.42,Rural,1,0,1,0
207,14,3.82,True,0.46,Urban,0,0,0,0
208,18,6.53,True,0.43,Urban,0,0,0,1
209,15,4.54,True,0.46,Urban,0,1,0,0
210,18,3.87,True,0.36,Urban,0,1,0,0
211,8,0.1,False,0.5,Rural,0,0,0,0
212,13,4.44,True,0.39,Urban,1,0,1,0
213,15,4.75,True,0.44,Rural,1,0,1,0
214,12,3.65,True,0.4,Urban,0,0,0,0
215,11,3.85,True,0.31,Urban,1,1,0,0
216,9,2.32,True,0.51,Urban,1,0,0,1
217,13,3.65,True,0.37,Rural,1,1,0,0
218,13,5.78,True,0.43,Rural,0,0,0,1
219,18,2.96,False,0.43,Urban,1,0,0,1
220,8,0.91,False,0.43,Urban,0,0,1,0
221,16,4.17,True,0.36,Urban,1,0,1,0
222,18,3.98,True,0.37,Urban,1,1,0,0
223,13,2.94,False,0.43,Urban,1,0,1,0
224,10,6.63,True,0.54,Urban,0,0,0,1
225,11,2.9,False,0.36,Urban,1,0,0,1
226,18,5.84,True,0.43,Urban,0,0,1,0
227,11,4.78,True,0.39,Rural,1,0,1,0
228,10,4.13,True,0.4,Urban,1,0,1,0
229,17,3.67,True,0.34,Urban,1,0,1,0
230,10,3.02,True,0.46,Rural,1,0,0,1
231,10,1.92,False,0.41,Urban,0,0,0,1
232,11,4.16,True,0.36,Urban,0,1,0,0
233,14,3.9,True,0.37,Urban,1,0,0,1
234,11,6.12,True,0.34,Urban,0,0,0,1
235,16,6.23,True,0.47,Rural,1,0,1,0
236,8,2.87,True,0.52,Urban,1,0,1,0
237,15,4.88,True,0.34,Urban,1,0,1,0
238,14,2.61,False,0.38,Rural,0,0,1,0
239,9,1.19,False,0.45,Urban,0,0,0,0
240,15,2.54,False,0.3,Urban,1,1,0,0
241,8,5.36,True,0.56,Urban,1,0,0,0
242,18,4.18,True,0.31,Urban,1,0,0,1
243,16,4.47,True,0.43,Urban,1,0,0,1
244,16,5.91,True,0.38,Rural,0,0,0,1
245,9,1.64,False,0.49,Urban,0,0,1,0
246,14,4.13,True,0.49,Rural,0,0,1,0
247,17,1.97,False,0.44,Rural,1,0,1,0
248,10,0.21,False,0.5,Urban,0,0,1,0
249,14,3.27,True,0.45,Urban,0,0,0,0
250,17,4.62,True,0.38,Urban,0,0,1,0
251,16,4.14,True,0.41,Urban,0,0,1,0
252,11,3.82,True,0.5,Urban,0,1,0,0
253,8,4.69,True,0.59,Urban,0,0,1,0
254,9,3.59,True,0.44,Rural,1,0,1,0
255,8,3.28,True,0.46,Rural,1,0,0,0
256,12,3.94,True,0.44,Urban,1,0,0,1
257,12,6.34,True,0.43,Rural,1,1,0,0
258,18,5.16,True,0.47,Urban,0,0,1,0
259,14,2.89,False,0.4,Rural,1,1,0,0
260,16,3.73,True,0.34,Rural,0,1,0,0
261,16,5.77,True,0.41,Urban,1,1,0,0
262,10,3.57,True,0.52,Rural,1,0,1,0
263,10,6.58,True,0.52,Rural,0,0,0,1
264,10,3.2,True,0.55,Urban,1,0,1,0
265,11,2.08,False,0.31,Rural,1,0,0,1
266,15,4.26,True,0.42,Urban,1,0,1,0
267,13,8.24,True,0.4,Urban,1,0,0,1
268,15,3.85,True,0.35,Urban,1,0,1,0
269,8,1.63,False,0.59,Urban,0,0,1,0
270,15,2.2,False,0.44,Rural,1,0,1,0
271,11,2.73,False,0.35,Urban,0,0,0,0
272,18,5.02,True,0.49,Urban,1,0,1,0
273,8,4.92,True,0.59,Urban,0,0,0,0
274,15,4.32,True,0.33,Urban,0,0,1,0
275,11,3.71,True,0.4,Urban,1,0,1,0
276,13,4.29,True,0.3,Urban,1,0,1,0
277,15,6.56,True,0.33,Urban,0,0,1,0
278,11,0.95,False,0.36,Urban,1,0,1,0
279,10,2.0,False,0.58,Urban,0,0,1,0
280,16,3.12,True,0.44,Urban,0,0,1,0
281,10,1.65,False,0.56,Urban,0,0,1,0
282,16,3.96,True,0.37,Urban,1,0,1,0
283,9,1.68,False,0.6,Rural,0,0,0,1
284,9,4.05,True,0.48,Urban,0,0,0,1
285,9,4.29,True,0.53,Urban,1,0,0,0
286,13,4.46,True,0.45,Urban,1,1,0,0
287,10,0.0,False,0.47,Rural,1,0,0,1
288,16,5.54,True,0.34,Rural,1,0,1,0
289,11,2.02,False,0.39,Urban,0,0,0,0
290,8,1.67,False,0.56,Urban,0,0,0,1
291,11,5.3,True,0.33,Urban,0,0,0,0
292,8,9.35,True,0.55,Rural,0,0,1,0
293,12,3.97,True,0.36,Rural,1,0,1,0
294,11,4.12,True,0.34,Urban,1,1,0,0
295,15,4.88,True,0.43,Rural,1,1,0,0
296,15,5.48,True,0.42,Urban,0,0,1,0
297,14,3.23,True,0.31,Urban,0,0,1,0
298,10,5.99,True,0.4,Urban,1,0,0,1
299,8,1.25,False,0.4,Urban,1,0,0,0
300,8,0.0,False,0.44,Urban,1,0,1,0
301,18,3.91,True,0.43,Rural,1,1,0,0
302,10,8.74,True,0.56,Urban,0,0,0,0
303,13,7.85,True,0.43,Rural,0,0,0,1
304,14,5.76,True,0.35,Urban,0,0,1,0
305,13,3.37,True,0.46,Rural,0,0,1,0
306,13,4.11,True,0.37,Urban,0,1,0,0
307,13,4.06,True,0.44,Urban,1,0,1,0
308,10,2.29,True,0.58,Urban,1,0,1,0
309,13,1.9,False,0.43,Urban,0,0,0,1
310,15,3.83,True,0.42,Urban,1,0,1,0
311,18,4.13,True,0.33,Rural,1,0,1,0
312,18,3.99,True,0.41,Rural,0,0,1,0
313,9,0.0,False,0.44,Urban,1,0,0,0
314,12,3.54,True,0.34,Urban,1,0,0,1
315,8,2.4,True,0.44,Urban,0,0,0,1
316,8,5.51,True,0.6,Rural,1,0,1,0
317,12,4.68,True,0.42,Urban,1,0,0,0
318,10,4.05,True,0.42,Urban,1,0,0,1
319,11,3.97,True,0.36,Rural,0,0,1,0
320,10,9.2,True,0.48,Urban,1,0,1,0
321,8,3.93,True,0.43,Urban,1,0,1,0
322,8,0.0,False,0.55,Urban,0,0,1,0
323,12,3.15,True,0.38,Urban,0,0,0,0
324,13,2.42,False,0.4,Urban,1,1,0,0
325,10,0.66,False,0.54,Urban,0,0,1,0
326,16,1.92,False,0.38,Urban,0,0,1,0
327,12,4.46,True,0.3,Urban,1,1,0,0
328,15,5.57,True,0.44,Rural,1,0,1,0
329,8,6.76,True,0.48,Urban,1,0,0,0
330,12,5.69,True,0.43,Urban,1,0,1,0
331,10,4.51,True,0.44,Urban,1,0,0,0
332,8,2.9,True,0.56,Urban,0,0,1,0
333,11,3.35,True,0.44,Rural,1,0,1,0
334,12,5.82,True,0.45,Urban,1,0,0,1
335,14,5.09,True,0.43,Urban,1,0,0,1
336,8,5.49,True,0.46,Rural,0,0,0,1
337,10,4.1,True,0.45,Urban,1,0,0,0
338,9,6.83,True,0.56,Rural,1,0,1,0
339,16,4.1,True,0.49,Rural,1,0,0,1
340,17,2.9,False,0.35,Urban,0,1,0,0
341,13,4.78,True,0.46,Urban,1,0,1,0
342,17,5.69,True,0.33,Urban,0,0,1,0
343,10,6.33,True,0.5,Urban,1,0,0,0
344,15,3.14,True,0.37,Urban,1,0,0,1
345,15,5.56,True,0.31,Urban,1,1,0,0
346,9,3.11,True,0.47,Urban,1,0,1,0
347,13,4.9,True,0.38,Urban,1,0,0,1
348,14,6.39,True,0.4,Urban,1,0,0,0
349,9,1.38,False,0.52,Urban,1,0,1,0
350,18,7.75,True,0.34,Urban,1,0,0,0
351,17,5.12,True,0.3,Urban,0,0,1,0
352,9,2.31,True,0.59,Urban,0,0,1,0
353,17,5.34,True,0.47,Urban,0,0,1,0
354,8,7.91,True,0.58,Urban,1,0,1,0
355,15,4.46,True,0.32,Rural,0,0,0,0
356,8,2.02,True,0.57,Urban,1,0,1,0
357,16,4.92,True,0.47,Rural,1,0,1,0
358,18,4.64,True,0.46,Urban,1,0,1,0
359,13,3.55,True,0.34,Rural,1,0,0,1
360,14,5.04,True,0.38,Urban,0,0,1,0
361,17,2.91,False,0.34,Rural,1,0,0,0
362,14,4.64,True,0.44,Rural,1,0,1,0
363,17,4.68,True,0.38,Urban,0,0,0,0
364,10,6.09,True,0.47,Rural,0,0,0,1
365,9,4.12,True,0.47,Rural,0,0,1,0
366,16,5.29,True,0.5,Rural,0,0,0,1
367,15,4.03,True,0.38,Rural,1,0,1,0
368,17,5.44,True,0.36,Urban,1,1,0,0
369,14,4.94,True,0.41,Urban,1,0,1,0
370,16,3.95,True,0.41,Urban,0,1,0,0
371,11,3.28,True,0.36,Urban,0,0,1,0
372,11,4.39,True,0.37,Urban,0,0,1,0
373,8,1.87,False,0.59,Urban,0,0,1,0
374,15,3.07,True,0.46,Urban,1,0,1,0
375,10,0.96,False,0.54,Urban,1,0,0,1
376,14,3.82,True,0.31,Urban,1,0,1,0
377,9,0.26,False,0.55,Rural,0,0,0,1
378,9,3.21,True,0.45,Urban,1,0,1,0
379,14,5.15,True,0.36,Urban,0,0,0,0
380,13,4.86,True,0.48,Urban,1,0,1,0
381,10,5.88,True,0.41,Urban,1,0,0,1
382,16,4.29,True,0.46,Urban,1,0,0,0
383,17,6.13,True,0.39,Urban,1,0,0,1
384,13,4.53,True,0.5,Urban,0,1,0,0
385,17,6.49,True,0.37,Rural,0,0,0,1
386,17,4.61,True,0.33,Urban,1,1,0,0
387,13,4.04,True,0.35,Urban,1,0,0,0
388,8,4.31,True,0.46,Urban,1,0,0,1
389,11,4.55,True,0.43,Rural,1,0,0,1
390,17,4.76,True,0.46,Urban,1,0,1,0
391,13,4.08,True,0.39,Urban,0,0,1,0
392,13,5.54,True,0.42,Rural,0,0,0,1
393,18,6.81,True,0.4,Urban,0,1,0,0
394,12,4.05,True,0.42,Urban,0,0,1,0
395,8,7.57,True,0.57,Urban,0,0,1,0
396,15,4.55,True,0.43,Rural,0,0,1,0
397,12,3.13,True,0.33,Urban,1,0,1,0
398,12,4.26,True,0.49,Rural,0,0,0,1
399,14,4.28,True,0.47,Urban,1,0,0,1
400,11,5.24,True,0.32,Urban,0,0,1,0
401,13,3.75,True,0.36,Urban,1,0,0,0
402,11,4.54,True,0.37,Rural,1,1,0,0
403,10,2.79,True,0.59,Urban,1,0,1,0
404,14,5.67,True,0.35,Rural,1,0,1,0
405,15,3.91,True,0.49,Rural,0,1,0,0
406,11,4.55,True,0.49,Rural,0,1,0,0
407,9,11.18,True,0.52,Rural,1,0,0,0
408,17,7.29,True,0.49,Rural,0,1,0,0
409,10,2.76,True,0.54,Urban,1,0,0,0
410,8,0.96,False,0.4,Urban,0,0,1,0
411,15,4.91,True,0.35,Rural,0,0,1,0
412,10,3.23,True,0.58,Urban,1,0,0,0
413,17,4.71,True,0.39,Urban,0,0,1,0
414,14,3.41,True,0.35,Urban,1,0,0,1
415,17,5.22,True,0.37,Urban,0,0,1,0
416,12,3.67,True,0.33,Rural,0,0,1,0
417,17,5.45,True,0.41,Urban,0,0,0,0
418,12,3.6,True,0.48,Rural,0,1,0,0
419,14,4.36,True,0.46,Urban,0,0,1,0
420,16,4.51,True,0.46,Rural,1,0,1,0
421,12,5.6,True,0.47,Urban,1,1,0,0
422,8,4.1,True,0.53,Urban,1,0,1,0
423,17,5.7,True,0.38,Rural,0,0,1,0
424,17,6.58,True,0.49,Rural,0,0,1,0
425,8,7.78,True,0.5,Rural,0,0,0,1
426,9,5.32,True,0.42,Urban,1,0,0,1
427,13,5.04,True,0.33,Rural,1,0,0,0
428,16,5.2,True,0.4,Rural,0,0,0,0
429,15,5.02,True,0.35,Urban,0,0,0,1
430,12,4.52,True,0.37,Urban,0,0,0,1
431,8,2.68,True,0.41,Urban,1,0,0,1
432,14,4.91,True,0.4,Urban,0,0,1,0
433,12,4.97,True,0.32,Rural,1,1,0,0
434,13,2.73,False,0.3,Urban,0,0,1,0
435,14,5.77,True,0.42,Rural,1,1,0,0
436,10,6.68,True,0.42,Urban,0,0,1,0
437,17,3.74,True,0.47,Urban,1,0,0,1
438,10,9.33,True,0.41,Rural,0,0,0,0
439,12,4.95,True,0.46,Urban,1,0,1,0
440,13,4.66,True,0.48,Urban,1,0,1,0
441,16,3.47,True,0.39,Urban,1,0,0,1
442,12,4.58,True,0.49,Urban,1,0,1,0
443,8,8.46,True,0.46,Urban,0,0,1,0
444,11,3.93,True,0.33,Rural,0,0,1,0
445,12,5.47,True,0.33,Urban,1,0,1,0
446,17,4.05,True,0.44,Urban,1,1,0,0
447,17,4.88,True,0.37,Urban,0,0,0,1
448,12,5.21,True,0.33,Urban,0,1,0,0
449,14,3.11,True,0.4,Urban,1,1,0,0
450,11,5.47,True,0.4,Urban,0,0,0,0
451,8,4.45,True,0.59,Rural,0,0,1,0
452,12,5.09,True,0.48,Rural,0,1,0,0
453,14,2.56,False,0.38,Urban,0,0,0,0
454,17,4.78,True,0.41,Urban,0,0,1,0
455,17,5.9,True,0.35,Urban,0,1,0,0
456,13,3.73,True,0.34,Urban,0,0,1,0
457,12,3.76,True,0.38,Urban,1,0,1,0
458,11,3.74,True,0.46,Rural,1,1,0,0
459,9,5.87,True,0.45,Urban,0,0,1,0
460,11,6.62,True,0.49,Rural,0,0,0,1
461,17,6.0,True,0.49,Urban,0,0,1,0
462,17,5.71,True,0.43,Urban,0,0,0,1
463,10,3.87,True,0.56,Urban,1,0,1,0
464,17,3.94,True,0.48,Rural,1,1,0,0
465,8,2.61,True,0.45,Rural,1,0,1,0
466,15,6.88,True,0.44,Urban,0,0,1,0
467,12,5.41,True,0.32,Rural,1,0,0,0
468,11,3.67,True,0.36,Rural,0,0,0,1
469,15,7.42,True,0.37,Urban,1,0,1,0
470,14,3.39,True,0.37,Urban,0,1,0,0
471,9,7.41,True,0.59,Urban,1,0,0,1
472,8,3.08,True,0.42,Rural,1,0,0,1
473,18,3.89,True,0.43,Urban,0,0,0,0
474,11,4.57,True,0.32,Urban,1,0,1,0
475,15,6.81,True,0.45,Urban,1,0,0,1
476,9,6.87,True,0.59,Urban,0,0,0,1
477,10,3.56,True,0.42,Rural,0,0,1,0
478,8,4.95,True,0.59,Urban,0,0,0,0
479,8,7.2,True,0.6,Rural,1,0,1,0
480,10,2.48,True,0.42,Rural,1,0,1,0
481,18,2.29,False,0.41,Urban,1,0,1,0
482,12,6.82,True,0.32,Rural,0,0,1,0
483,10,4.18,True,0.59,Rural,0,0,1,0
484,8,7.59,True,0.57,Urban,1,0,1,0
485,8,4.96,True,0.51,Urban,1,0,1,0
486,15,2.7,False,0.42,Urban,0,1,0,0
487,17,5.37,True,0.35,Urban,0,0,1,0
488,18,3.02,True,0.31,Urban,0,1,0,0
489,9,2.28,True,0.46,Rural,0,0,0,1
490,10,7.37,True,0.55,Urban,1,0,0,1
491,9,0.62,False,0.59,Rural,0,0,0,1
492,10,5.21,True,0.58,Urban,1,0,0,0
493,14,6.65,True,0.38,Urban,0,0,0,0
494,8,2.8,True,0.55,Urban,0,0,0,0
495,17,6.48,True,0.44,Rural,0,0,1,0
496,15,5.88,True,0.49,Urban,1,0,0,1
497,17,6.03,True,0.34,Urban,1,1,0,0
498,17,5.55,True,0.35,Rural,0,0,0,1
499,17,4.89,True,0.31,Urban,1,0,0,1
500,9,0.0,False,0.43,Urban,1,0,1,0
501,10,0.6,False,0.5,Urban,0,0,1,0
502,16,6.41,True,0.46,Urban,1,1,0,0
503,14,3.79,True,0.4,Rural,0,0,1,0
504,11,4.95,True,0.33,Rural,0,1,0,0
505,17,3.44,True,0.34,Urban,1,0,1,0
506,12,8.29,True,0.41,Urban,1,0,1,0
507,9,6.34,True,0.5,Urban,1,0,1,0
508,18,5.47,True,0.31,Urban,0,0,0,1
509,15,4.24,True,0.5,Urban,1,0,0,1
510,11,3.71,True,0.43,Urban,0,1,0,0
511,16,6.02,True,0.38,Rural,0,1,0,0
512,12,6.42,True,0.47,Urban,1,0,1,0
513,16,4.03,True,0.49,Urban,0,0,0,1
514,11,5.26,True,0.45,Urban,1,0,0,1
515,17,4.14,True,0.33,Rural,0,0,1,0
516,12,5.93,True,0.35,Urban,1,0,1,0
517,16,4.14,True,0.31,Urban,0,0,1,0
518,15,5.08,True,0.5,Urban,0,0,0,0
519,10,5.95,True,0.47,Urban,1,0,0,1
520,8,0.36,False,0.52,Urban,0,0,1,0
521,10,6.46,True,0.56,Urban,0,0,0,1
522,11,3.84,True,0.35,Urban,0,0,0,1
523,9,0.02,False,0.44,Urban,0,0,0,0
524,8,2.62,True,0.49,Urban,1,0,1,0
525,14,2.63,False,0.32,Urban,1,0,1,0
526,15,2.58,False,0.49,Urban,0,1,0,0
527,14,2.32,False,0.36,Urban,1,0,1,0
528,12,3.11,True,0.35,Rural,1,0,0,1
529,8,5.12,True,0.47,Urban,0,0,0,1
